1, bettermineshafts:mineshaft_oak, HEADING, header:ignore, 0, 0, 0
106, repurposed_structures:pyramid_mushroom, CREATURE, minecraft:mooshroom, 80, 4, 4
107, repurposed_structures:pyramid_mushroom, CREATURE, minecraft:rabbit, 80, 4, 4
108, repurposed_structures:city_overworld, HEADING, header:ignore, 0, 0, 0
109, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
110, dungeons_arise:small_prairie_house, HEADING, header:ignore, 0, 0, 0
111, mvs:stall/blue_stall, HEADING, header:ignore, 0, 0, 0
112, repurposed_structures:outpost_taiga, HEADING, header:ignore, 0, 0, 0
113, repurposed_structures:outpost_taiga, MONSTER, minecraft:pillager, 10, 1, 1
114, bettermineshafts:mineshaft_spruce_snowy, HEADING, header:ignore, 0, 0, 0
115, repurposed_structures:village_birch, HEADING, header:ignore, 0, 0, 0
116, repurposed_structures:ancient_city_end, HEADING, header:ignore, 0, 0, 0
117, repurposed_structures:ancient_city_end, MONSTER, minecraft:phantom, 30, 1, 1
118, repurposed_structures:ancient_city_end, MONSTER, minecraft:endermite, 20, 3, 7
119, nova_structures:firewatch_tower_dark_oak, HEADING, header:ignore, 0, 0, 0
120, repurposed_structures:village_dark_forest, HEADING, header:ignore, 0, 0, 0
121, mvs:log_pile/spruce_log_pile, HEADING, header:ignore, 0, 0, 0
122, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
123, minecraft:ruined_portal, HEADING, header:ignore, 0, 0, 0
124, graveyard:crypt, HEADING, header:ignore, 0, 0, 0
125, graveyard:crypt, MONSTER, graveyard:acolyte, 25, 1, 1
126, graveyard:crypt, MONSTER, graveyard:corrupted_vindicator, 35, 1, 3
127, graveyard:crypt, MONSTER, graveyard:corrupted_pillager, 35, 1, 3
128, repurposed_structures:mineshaft_nether, HEADING, header:ignore, 0, 0, 0
129, repurposed_structures:mineshaft_end, HEADING, header:ignore, 0, 0, 0
130, repurposed_structures:mineshaft_end, MONSTER, minecraft:endermite, 10, 2, 5
131, repurposed_structures:mineshaft_end, MONSTER, minecraft:enderman, 5, 1, 3
132, nova_structures:ruin_town, HEADING, header:ignore, 0, 0, 0
133, nova_structures:ruin_town, MONSTER, minecraft:zombie, 5, 1, 16
134, mvs:nature/big_oak_tree, HEADING, header:ignore, 0, 0, 0
135, repurposed_structures:mansion_oak, HEADING, header:ignore, 0, 0, 0
136, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
137, nova_structures:underground_house, HEADING, header:ignore, 0, 0, 0
138, repurposed_structures:mansion_taiga, HEADING, header:ignore, 0, 0, 0
139, repurposed_structures:outpost_nether_brick, HEADING, header:ignore, 0, 0, 0
140, repurposed_structures:outpost_nether_brick, MONSTER, minecraft:piglin, 10, 1, 1
141, repurposed_structures:witch_hut_taiga, HEADING, header:ignore, 0, 0, 0
142, repurposed_structures:witch_hut_taiga, MONSTER, minecraft:witch, 5, 1, 1
143, repurposed_structures:witch_hut_taiga, CREATURE, minecraft:cat, 5, 1, 1
144, mvs:well/wells/oak_well, HEADING, header:ignore, 0, 0, 0
145, repurposed_structures:pyramid_end, HEADING, header:ignore, 0, 0, 0
146, repurposed_structures:pyramid_end, MONSTER, minecraft:endermite, 80, 8, 24
147, mvs:well/wells/jungle_well, HEADING, header:ignore, 0, 0, 0
148, awesomedungeonnether:nth_obsi_house, HEADING, header:ignore, 0, 0, 0
149, mvs:houses/warped_house, HEADING, header:ignore, 0, 0, 0
150, repurposed_structures:temple_taiga, HEADING, header:ignore, 0, 0, 0
151, repurposed_structures:temple_nether_wasteland, HEADING, header:ignore, 0, 0, 0
152, mvs:ruins/tree_monument, HEADING, header:ignore, 0, 0, 0
153, mvs:ruins/log_ruin, HEADING, header:ignore, 0, 0, 0
154, minecraft:ruined_portal_jungle, HEADING, header:ignore, 0, 0, 0
155, repurposed_structures:ruins_land_icy, HEADING, header:ignore, 0, 0, 0
156, soulsweapons:corrupt_altar, HEADING, header:ignore, 0, 0, 0
157, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
158, repurposed_structures:village_giant_taiga, HEADING, header:ignore, 0, 0, 0
159, mvs:nature/mushroom_pond, HEADING, header:ignore, 0, 0, 0
160, betterwitchhuts:witch_hut, HEADING, header:ignore, 0, 0, 0
161, betterwitchhuts:witch_hut, MONSTER, minecraft:witch, 5, 1, 1
162, betterwitchhuts:witch_hut, CREATURE, minecraft:cat, 5, 1, 1
163, graveyard:lich_prison, HEADING, header:ignore, 0, 0, 0
164, repurposed_structures:outpost_snowy, HEADING, header:ignore, 0, 0, 0
165, repurposed_structures:outpost_snowy, MONSTER, minecraft:pillager, 10, 1, 1
166, repurposed_structures:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
167, mvs:cartographer_tower, HEADING, header:ignore, 0, 0, 0
168, repurposed_structures:village_badlands, HEADING, header:ignore, 0, 0, 0
169, repurposed_structures:mineshaft_crimson, HEADING, header:ignore, 0, 0, 0
170, mvs:well/wells/dark_oak_well, HEADING, header:ignore, 0, 0, 0
171, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
172, repurposed_structures:pyramid_dark_forest, HEADING, header:ignore, 0, 0, 0
173, repurposed_structures:pyramid_dark_forest, MONSTER, minecraft:zombie, 80, 10, 32
174, repurposed_structures:pyramid_dark_forest, MONSTER, minecraft:spider, 50, 5, 15
175, repurposed_structures:pyramid_dark_forest, CREATURE, minecraft:cat, 80, 4, 4
176, repurposed_structures:pyramid_dark_forest, CREATURE, minecraft:rabbit, 80, 4, 4
177, mvs:other_decoration/lamp_chest, HEADING, header:ignore, 0, 0, 0
178, nova_structures:mangrove_witch_hut, HEADING, header:ignore, 0, 0, 0
179, nova_structures:mangrove_witch_hut, MONSTER, minecraft:witch, 5, 1, 1
180, nova_structures:mangrove_witch_hut, CREATURE, minecraft:cat, 5, 1, 1
181, minecraft:shipwreck, HEADING, header:ignore, 0, 0, 0
182, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
183, repurposed_structures:outpost_birch, HEADING, header:ignore, 0, 0, 0
184, repurposed_structures:outpost_birch, MONSTER, minecraft:pillager, 10, 1, 1
185, dungeons_arise:typhon, HEADING, header:ignore, 0, 0, 0
186, bettermineshafts:mineshaft_mushroom, HEADING, header:ignore, 0, 0, 0
187, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
188, mvs:out_house, HEADING, header:ignore, 0, 0, 0
189, mvs:log_pile/birch_log_pile, HEADING, header:ignore, 0, 0, 0
190, graveyard:small_grave, HEADING, header:ignore, 0, 0, 0
191, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
192, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
193, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
194, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
195, minecraft:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
196, minecraft:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
197, nova_structures:tavern_dark_oak, HEADING, header:ignore, 0, 0, 0
198, betterdungeons:spider_dungeon, HEADING, header:ignore, 0, 0, 0
199, betterdungeons:spider_dungeon, MONSTER, minecraft:spider, 80, 4, 15
200, betterdungeons:spider_dungeon, MONSTER, minecraft:cave_spider, 50, 4, 8
201, repurposed_structures:mansion_jungle, HEADING, header:ignore, 0, 0, 0
202, mvs:well/small_copper_well, HEADING, header:ignore, 0, 0, 0
203, mvs:ruins/stone_pillars, HEADING, header:ignore, 0, 0, 0
204, repurposed_structures:pyramid_badlands, HEADING, header:ignore, 0, 0, 0
205, repurposed_structures:pyramid_badlands, MONSTER, minecraft:husk, 80, 10, 32
206, repurposed_structures:pyramid_badlands, CREATURE, minecraft:cat, 80, 4, 4
207, repurposed_structures:pyramid_badlands, CREATURE, minecraft:rabbit, 80, 4, 4
208, mvs:nature/boulder, HEADING, header:ignore, 0, 0, 0
209, nova_structures:illager_camp, HEADING, header:ignore, 0, 0, 0
210, mvs:jungle_tower, HEADING, header:ignore, 0, 0, 0
211, repurposed_structures:pyramid_nether, HEADING, header:ignore, 0, 0, 0
212, repurposed_structures:pyramid_nether, MONSTER, minecraft:magma_cube, 80, 8, 26
213, repurposed_structures:pyramid_nether, MONSTER, minecraft:blaze, 80, 6, 16
214, repurposed_structures:pyramid_nether, MONSTER, minecraft:ghast, 10, 2, 6
215, mvs:log_pile/oak_log_pile, HEADING, header:ignore, 0, 0, 0
216, repurposed_structures:outpost_badlands, HEADING, header:ignore, 0, 0, 0
217, repurposed_structures:outpost_badlands, MONSTER, minecraft:pillager, 10, 1, 1
218, repurposed_structures:mineshaft_stone, HEADING, header:ignore, 0, 0, 0
219, mvs:gallows, HEADING, header:ignore, 0, 0, 0
220, mvs:beach_bar, HEADING, header:ignore, 0, 0, 0
221, mvs:other_decoration/lecturn_garden, HEADING, header:ignore, 0, 0, 0
222, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
223, repurposed_structures:monument_icy, HEADING, header:ignore, 0, 0, 0
224, repurposed_structures:monument_icy, MONSTER, minecraft:stray, 80, 1, 3
225, repurposed_structures:monument_icy, MONSTER, minecraft:vex, 5, 1, 1
226, repurposed_structures:outpost_desert, HEADING, header:ignore, 0, 0, 0
227, repurposed_structures:outpost_desert, MONSTER, minecraft:pillager, 10, 1, 1
228, repurposed_structures:mansion_savanna, HEADING, header:ignore, 0, 0, 0
229, betterfortresses:fortress, HEADING, header:ignore, 0, 0, 0
230, betterfortresses:fortress, MONSTER, minecraft:blaze, 10, 2, 3
231, betterfortresses:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
232, betterfortresses:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
233, betterfortresses:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
234, betterfortresses:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
235, mvs:cathedral, HEADING, header:ignore, 0, 0, 0
236, mvs:cathedral, MONSTER, minecraft:skeleton, 5, 1, 2
237, mvs:cathedral, MONSTER, minecraft:zombie, 20, 2, 5
238, dungeons_arise:heavenly_challenger, HEADING, header:ignore, 0, 0, 0
239, dungeons_arise:lighthouse, HEADING, header:ignore, 0, 0, 0
240, minecraft:ruined_portal_nether, HEADING, header:ignore, 0, 0, 0
241, betterdungeons:skeleton_dungeon, HEADING, header:ignore, 0, 0, 0
242, betterdungeons:skeleton_dungeon, MONSTER, minecraft:skeleton, 80, 4, 15
243, graveyard:dead_tree, HEADING, header:ignore, 0, 0, 0
244, graveyard:small_savanna_grave, HEADING, header:ignore, 0, 0, 0
245, dungeons_arise:keep_kayra, HEADING, header:ignore, 0, 0, 0
246, mvs:houses/flower_hole, HEADING, header:ignore, 0, 0, 0
247, mvs:stall/orange_stall, HEADING, header:ignore, 0, 0, 0
248, repurposed_structures:mansion_desert, HEADING, header:ignore, 0, 0, 0
249, bettermineshafts:mineshaft_spruce, HEADING, header:ignore, 0, 0, 0
250, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
251, repurposed_structures:witch_hut_oak, HEADING, header:ignore, 0, 0, 0
252, repurposed_structures:witch_hut_oak, MONSTER, minecraft:witch, 5, 1, 1
253, repurposed_structures:witch_hut_oak, CREATURE, minecraft:cat, 5, 1, 1
254, bettermineshafts:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
255, repurposed_structures:pyramid_snowy, HEADING, header:ignore, 0, 0, 0
256, repurposed_structures:pyramid_snowy, MONSTER, minecraft:stray, 80, 10, 32
257, repurposed_structures:pyramid_snowy, CREATURE, minecraft:polar_bear, 80, 1, 1
258, repurposed_structures:pyramid_snowy, CREATURE, minecraft:rabbit, 80, 4, 4
259, repurposed_structures:village_warped, HEADING, header:ignore, 0, 0, 0
260, repurposed_structures:temple_nether_crimson, HEADING, header:ignore, 0, 0, 0
261, graveyard:ruins, HEADING, header:ignore, 0, 0, 0
262, graveyard:ruins, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
263, graveyard:ruins, MONSTER, graveyard:revenant, 45, 1, 3
264, graveyard:ruins, MONSTER, graveyard:ghoul, 50, 1, 2
265, repurposed_structures:igloo_grassy, HEADING, header:ignore, 0, 0, 0
266, mvs:sunzi_gate, HEADING, header:ignore, 0, 0, 0
267, repurposed_structures:shipwreck_nether_bricks, HEADING, header:ignore, 0, 0, 0
268, repurposed_structures:shipwreck_nether_bricks, MONSTER, minecraft:wither_skeleton, 10, 1, 1
269, repurposed_structures:shipwreck_warped, HEADING, header:ignore, 0, 0, 0
270, repurposed_structures:shipwreck_warped, MONSTER, minecraft:wither_skeleton, 10, 1, 1
271, repurposed_structures:outpost_giant_tree_taiga, HEADING, header:ignore, 0, 0, 0
272, repurposed_structures:outpost_giant_tree_taiga, MONSTER, minecraft:pillager, 10, 1, 1
273, graveyard:small_desert_graveyard, HEADING, header:ignore, 0, 0, 0
274, graveyard:small_desert_graveyard, MONSTER, minecraft:vindicator, 5, 1, 1
275, graveyard:small_desert_graveyard, MONSTER, minecraft:pillager, 10, 1, 1
276, mvs:carts/cart, HEADING, header:ignore, 0, 0, 0
277, mvs:nature/large_mushroom, HEADING, header:ignore, 0, 0, 0
278, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
279, awesomedungeonend:end_hardcastle, HEADING, header:ignore, 0, 0, 0
280, repurposed_structures:pyramid_jungle, HEADING, header:ignore, 0, 0, 0
281, repurposed_structures:pyramid_jungle, MONSTER, minecraft:zombie, 80, 10, 32
282, repurposed_structures:pyramid_jungle, MONSTER, minecraft:skeleton, 80, 8, 26
283, repurposed_structures:pyramid_jungle, MONSTER, minecraft:cave_spider, 80, 5, 12
284, repurposed_structures:pyramid_jungle, CREATURE, minecraft:cat, 80, 4, 4
285, repurposed_structures:pyramid_jungle, CREATURE, minecraft:parrot, 80, 4, 4
286, repurposed_structures:outpost_crimson, HEADING, header:ignore, 0, 0, 0
287, repurposed_structures:outpost_crimson, MONSTER, minecraft:piglin, 10, 1, 1
288, nova_structures:well_oak, HEADING, header:ignore, 0, 0, 0
289, repurposed_structures:mansion_mangrove, HEADING, header:ignore, 0, 0, 0
290, repurposed_structures:ruins_land_hot, HEADING, header:ignore, 0, 0, 0
291, mvs:nature/floating_islands, HEADING, header:ignore, 0, 0, 0
292, mvs:other_decoration/end_scraps/end_scraps_1, HEADING, header:ignore, 0, 0, 0
293, forgero:medium_forging_house_savanna, HEADING, header:ignore, 0, 0, 0
294, graveyard:small_desert_grave, HEADING, header:ignore, 0, 0, 0
295, mvs:well/wells/desert_well, HEADING, header:ignore, 0, 0, 0
296, nova_structures:illager_hideout, HEADING, header:ignore, 0, 0, 0
297, nova_structures:well_savana, HEADING, header:ignore, 0, 0, 0
298, repurposed_structures:outpost_warped, HEADING, header:ignore, 0, 0, 0
299, repurposed_structures:outpost_warped, MONSTER, minecraft:piglin, 10, 1, 1
300, betterdungeons:small_dungeon, HEADING, header:ignore, 0, 0, 0
301, repurposed_structures:outpost_end, HEADING, header:ignore, 0, 0, 0
302, repurposed_structures:outpost_end, MONSTER, minecraft:phantom, 10, 1, 1
303, graveyard:giant_mushroom, HEADING, header:ignore, 0, 0, 0
304, repurposed_structures:fortress_jungle, HEADING, header:ignore, 0, 0, 0
305, repurposed_structures:fortress_jungle, MONSTER, minecraft:wither_skeleton, 5, 1, 1
306, repurposed_structures:fortress_jungle, MONSTER, minecraft:skeleton, 10, 1, 3
307, repurposed_structures:fortress_jungle, MONSTER, minecraft:zombie, 10, 1, 4
308, repurposed_structures:fortress_jungle, MONSTER, minecraft:spider, 10, 1, 3
309, repurposed_structures:fortress_jungle, MONSTER, minecraft:creeper, 5, 1, 2
310, repurposed_structures:fortress_jungle, MONSTER, minecraft:enderman, 30, 1, 2
311, repurposed_structures:fortress_jungle, MONSTER, minecraft:witch, 20, 1, 2
312, repurposed_structures:igloo_stone, HEADING, header:ignore, 0, 0, 0
313, dungeons_arise:merchant_campsite, HEADING, header:ignore, 0, 0, 0
314, graveyard:altar, HEADING, header:ignore, 0, 0, 0
315, repurposed_structures:outpost_icy, HEADING, header:ignore, 0, 0, 0
316, repurposed_structures:outpost_icy, MONSTER, minecraft:pillager, 10, 1, 1
317, dungeons_arise:small_blimp, HEADING, header:ignore, 0, 0, 0
318, repurposed_structures:temple_nether_soul, HEADING, header:ignore, 0, 0, 0
319, minecraft:nether_keep, HEADING, header:ignore, 0, 0, 0
320, minecraft:nether_keep, MONSTER, minecraft:blaze, 10, 6, 16
321, minecraft:nether_keep, MONSTER, minecraft:wither_skeleton, 8, 15, 32
322, minecraft:nether_keep, MONSTER, minecraft:skeleton, 20, 15, 26
323, minecraft:nether_keep, MONSTER, minecraft:magma_cube, 30, 4, 4
324, repurposed_structures:pyramid_giant_tree_taiga, HEADING, header:ignore, 0, 0, 0
325, repurposed_structures:pyramid_giant_tree_taiga, MONSTER, minecraft:zombie, 80, 10, 32
326, repurposed_structures:pyramid_giant_tree_taiga, CREATURE, minecraft:cat, 80, 4, 4
327, repurposed_structures:pyramid_giant_tree_taiga, CREATURE, minecraft:rabbit, 80, 4, 4
328, repurposed_structures:village_mountains, HEADING, header:ignore, 0, 0, 0
329, mvs:ruins/castle_ruins, HEADING, header:ignore, 0, 0, 0
330, awesomedungeonnether:nth_giant_crimson_tree, HEADING, header:ignore, 0, 0, 0
331, mvs:ruins/small_ruin, HEADING, header:ignore, 0, 0, 0
332, repurposed_structures:village_ocean, HEADING, header:ignore, 0, 0, 0
333, repurposed_structures:mineshaft_ocean, HEADING, header:ignore, 0, 0, 0
334, repurposed_structures:stronghold_end, HEADING, header:ignore, 0, 0, 0
335, repurposed_structures:stronghold_end, MONSTER, minecraft:endermite, 80, 2, 4
336, graveyard:small_graveyard, HEADING, header:ignore, 0, 0, 0
337, graveyard:small_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
338, graveyard:small_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
339, graveyard:small_graveyard, MONSTER, graveyard:ghoul, 50, 1, 2
340, graveyard:memorial_tree, HEADING, header:ignore, 0, 0, 0
341, dungeons_arise:scorched_mines, HEADING, header:ignore, 0, 0, 0
342, graveyard:medium_graveyard, HEADING, header:ignore, 0, 0, 0
343, graveyard:medium_graveyard, MONSTER, graveyard:skeleton_creeper, 35, 1, 1
344, graveyard:medium_graveyard, MONSTER, graveyard:revenant, 45, 1, 3
345, graveyard:medium_graveyard, MONSTER, graveyard:ghoul, 50, 2, 4
346, mvs:other_decoration/campsite, HEADING, header:ignore, 0, 0, 0
347, bettermineshafts:mineshaft_dripstone, HEADING, header:ignore, 0, 0, 0
348, mvs:other_decoration/stone_bee, HEADING, header:ignore, 0, 0, 0
349, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
350, nova_structures:tavern_oak, HEADING, header:ignore, 0, 0, 0
351, repurposed_structures:witch_hut_mangrove, HEADING, header:ignore, 0, 0, 0
352, repurposed_structures:witch_hut_mangrove, MONSTER, minecraft:witch, 5, 1, 1
353, repurposed_structures:witch_hut_mangrove, CREATURE, minecraft:cat, 5, 1, 1
354, dungeons_arise:undead_pirate_ship, HEADING, header:ignore, 0, 0, 0
355, nova_structures:tavern_mangrove, HEADING, header:ignore, 0, 0, 0
356, mvs:other_decoration/duck, HEADING, header:ignore, 0, 0, 0
357, mvs:well/well, HEADING, header:ignore, 0, 0, 0
358, mvs:other_decoration/mushroom_statue, HEADING, header:ignore, 0, 0, 0
359, soulsweapons:decaying_kingdom, HEADING, header:ignore, 0, 0, 0
360, mvs:houses/barn, HEADING, header:ignore, 0, 0, 0
361, mvs:other_decoration/bee_dome, HEADING, header:ignore, 0, 0, 0
362, minecraft:illager_manor, HEADING, header:ignore, 0, 0, 0
363, integrated_stronghold:stronghold, HEADING, header:ignore, 0, 0, 0
364, integrated_stronghold:stronghold, MONSTER, minecraft:silverfish, 5, 1, 3
